Id,Counties,City
1,Alba,Alba Iulia
2,Arad,Array
3,Arges,Pizza
4,Bacau,Biryani
5,Bihor,Ohhh
6,Bistrita-Nasaud,Bistrita
7,Botosani,Botosani
9,Braila,Braila
8,Brasov,Brasov
10,Bucuresti,Municipality of Bucharest
11,Buzau,Buzau
13,Calarasi,Calarasi
12,Caras-Severin,Resita
14,Cluj,Cluj-Napoca
15,Constanta,Constanta
16,Covasna,Sfantu Gheorghe
17,Dambovita,Targoviste
18,Dolj,Craiova
19,Galati,Galati
20,Giurgiu,Giurgiu
21,Gorj,Targu Jiu
22,Harghita,Miercurea Ciuc
23,Hunedoara,Deva
24,Ialomita,Slobozia
25,Iasi,Iasi
26,Ilfov,Buftea
27,Maramures,Baia Mare
28,Mehedinti,Drobeta-Turnu Severin
29,Mures,Targu Mures
30,Neamt,Piatra Neamt
31,Olt,Slatina
32,Prahova,Ploiesti
34,Salaj,Zalau
33,Satu Mare,Satu Mare
35,Sibiu,Sibiu
36,Suceava,Suceava
37,Teleorman,Alexandria
38,Timis,Timisoara
39,Tulcea,Tulcea
41,Valcea,Ramnicu Valcea
40,Vaslui,Vaslui
42,Vrancea,Focsani
