County,City
Alba,Alba Iulia
Arad,Arad
Arges,Pitesti
Bacau,Bacau
Bihor,Oradea
Bistrita-Nasaud,Bistrita
Botosani,Botosani
Brasov,Brasov
Braila,Braila
Bucuresti,Municipality of Bucharest
Buzau,Buzau
Caras-Severin,Resita
Calarasi,Calarasi
Cluj,Cluj-Napoca
Constanta,Constanta
Covasna,Sfantu Gheorghe
Dambovita,Targoviste
Dolj,Craiova
Galati,Galati
Giurgiu,Giurgiu
Gorj,Targu Jiu
Harghita,Miercurea Ciuc
Hunedoara,Deva
Ialomita,Slobozia
Iasi,Iasi
Ilfov,Buftea
Maramures,Baia Mare
Mehedinti,Drobeta-Turnu Severin
Mures,Targu Mures
Neamt,Piatra Neamt
Olt,Slatina
Prahova,Ploiesti
Satu Mare,Satu Mare
Salaj,Zalau
Sibiu,Sibiu
Suceava,Suceava
Teleorman,Alexandria
Timis,Timisoara
Tulcea,Tulcea
Vaslui,Vaslui
Valcea,Ramnicu Valcea
Vrancea,Focsani
